Id,Number,Category,Comment,Readability&Maintainability,Functionality,Design,Questions,Responses,NotUseful
642292186,2205,Issue,"I don't see it listed on the [Issues API page], or as a [Preview API], so I think we're stuck for the moment.",,,,,,
642922550,2205,Issue,Thanks for providing those reference points 👍 Feel free to close or label accordingly.,,,,,,
642923797,2205,Issue,"For the moment I'm going to close this out, but if this does appear as a preview API we can reopen it.",,,,,,
641600688,2203,Issue,Done:,,,,,,
640315031,2202,Issue,release_notes: Removed unused helper class `ConcurrentCache` previously marked as obsolete,,,,,,
639761082,2199,Issue,"This is not supported via the GitHub API, likely due to the potential for abuse.",,,,,,
640283449,2198,Issue,release_notes: Updated `xunit.runner.visualstudio` to latest version,,,,,,
639230264,2197,Issue,what is the process to get this reviewed?,,,,,,
639455442,2197,Issue,a bit of patience - aiming to throw some spare time on the weekend towards these side projects as Life™ and Work™ have been hectic this past week.,,,,,,
639879870,2197,Issue,Thbaks,,,,,,
640283506,2197,Issue,release_notes: Deserialize `requested_action` field on `check_run` events,,,,,,
637080623,2196,Issue,"thanks for the contribution. Given the detailed context behind it, it's gonna take me a few days to properly understand what we're trying to achieve here - I hope that's not a problem!",,,,,,
640283702,2196,Issue,release_notes: Add server time difference to `ApiInfo` API,,,,,,
636869502,2195,Issue,Is this just a missing feature (PR accepted?) or is it not there for a reason?Likely an oversight. I can't think of a reason for excluding it.,,,,,,
637448434,2195,Issue,No worries. Submitted a PR to add it in!,,,,,,
636482576,2194,Issue,this is a great spot - thanks for adding in that convention test. Gonna have a read over the changes and see if I have any suggestions to improve it.,,,,,,
640283623,2194,Issue,release_notes: `ChecksClient` constructor should take interface arguments,,,,,,
631539914,2190,Issue,does the API work as expected if you pass the owner and name for the private repository?,,,,,,
631540518,2190,Issue,"Unfortunately not, I have to say that the owner is an organization, don't know if it makes any difference",,,,,,
631541907,2190,Issue,There's this caveat about [this API] documented on GitHub: Information about published releases are available to everyone. Only users with push access will receive listings for draft releases.Could that be relevant to what you're seeing?,,,,,,
631542544,2190,Issue,"Also note that tags may be listed in the Releases page for the repository, but they are not considered a release (and would be returned from the Releases API).",,,,,,
631544235,2190,Issue,"Well I can see that I have releases in the github page by using the same user, I will try with the tags api instead...",,,,,,
631545716,2190,Issue,"OPs, a separate tags api apparently does not exist in octokit, am I wrong?",,,,,,
631546154,2190,Issue,yes I'm wrong :),,,,,,
631547870,2190,Issue,"I can confirm, Tags works, ( and it is a good workaround for me ) for releases, I dont't really know if the problem is the caveat, should not because I can see on the page the releases, but I don't understand really.",,,,,,
631550837,2190,Issue,"For reference: I dont't really know if the problem is the caveat, should not because I can see on the page the releases, but I don't understand really.I believe this is a historical thing on the website because of this workflow: - someone pushes a tag to the repository, and now wants to create the corresponding release - they go to the releases tab, and see the new tag alongside the current release - they click the tag, fill in the additional details for the release, and publish  - the new release is now listed on the releases page, which links to the tag chosen by the userIt saved having to go somewhere else to do this, but does introduce the ""is a tag a release?"" source of confusion in the UI.Anyway, closing this out as resolved.",,,,,,
631559528,2190,Issue,Thanks!,,,,,,
627539634,2189,Issue,♥️,,,,,,
640283800,2189,Issue,release_notes: Publish to NuGet using GitHub Actions when tag pushed,,,,,,
640298335,2189,Issue,Yessss,,,,,,
632924713,2188,Issue,"Or if we should open an issue in the dotnet project (I really don't know why AllowRedirect is not supported by Blazor wasm) let's start from there, as I don't have much control over `HttpClientHandler` and how it can be used from Blazor.The relevant code is here:",,,,,,
639726077,2188,Issue,Exactly same bug here :-(,,,,,,
639736848,2188,Issue,It works on .net coreBut .net standard doesn't have SslProtocolsPlease help!,,,,,,
639752586,2188,Issue,I need more information to understand the problem you're seeing,,,,,,
639756536,2188,Issue,"When you try to authenticate Octokit in blazor, which runs on .net standard framework, you get the above error This page gives an answer It seems aws are also getting the same problem",,,,,,
639795225,2188,Issue,the only area I'm aware of where we enable these in the library is here:This is only enabled for `net46`:This shouldn't be enabled for .NET Standard as we don't include that `ifdef`.,,,,,,
640013074,2188,Issue,"I was playing with this error for few hours.Things I saw,- Create .net standard 2.0 project, refer octokit.net nuget and consume it -> WORKS  - Create .net standard 2.1 project (like Blazor wasm), refer octokit.net nuget, consume it with a .net core 3.1 app -> WORKS  - Create .net standard 2.1 project (like Blazor wasm), refer octokit.net nuget, consume it -> ERROR  - Clone this repo, Remove `AllowAutoRedirect = false` from HttpMessageHandlerFactory.cs, Consume it with a .net standard 2.1 project (like Blazor wasm)  -> Above error is gone, But It does not really Authenticate GitHubClient on             `Client = new GitHubClient(new ProductHeaderValue(""Product Name""))            {                Credentials = new Credentials(username, password)            };`So I get It's framework issues, I'm very thankful for helping us on these :-)",,,,,,
640019490,2188,Issue,It looks like Blazor Web Assembly doesn't have AllowAutoRedirect property because HttpClientHandler is implemented via JavaScript APIs. There is an issue with `SecurityProtocolType.Tls12`This guy has [Modified octokit.net to use with blazor]He changed `_http = new HttpClient(new RedirectHandler { InnerHandler = getHandler() });`toof `Http/HttpClientAdapter.cs`When I do that it still says `Octokit.AuthorizationException: Bad Credentials at Octokit.Connection.HandleErrors`Exactly same code runs well on .net core,,,,,,
640057674,2188,Issue,", I agree with your observation on why `AutoRedirect` does not work in Blazor. Also see [#16955]. Though this is marked as closed, you can see that there are still open comments about it. To workaround this, the best way is to remove the `AutoRedirect` property in the `HttpMessageHandlerFactory.cs` file and not setting it to True. For whatever reason, Blazor does not like we setting the value (even if it is the default value) to this property. Also, you can remove the default handler completely when creating HttpClient instance but this prevents additional code in the default handler which might work. I assume there must be a reason why Octokit prevents `AutoRedirect` in the implementation. It is better if someone can explain that so that you are not creating any other issue down the line by enabling it.As with the auth issue, I suppose it is because [Basic Auth is deprecated]. I have tried with my Personal Access Token and it is working for me. I used below syntax It might be worth retrying with a PAT after 2FA is enabled just to see if it is an issue with Basic Auth.",,,,,,
640059171,2188,Issue,"I assume there must be a reason why Octokit prevents `AutoRedirect` in the implementation. It is better if someone can explain that so that you are not creating any other issue down the line by enabling it. from memory this is still kept around due to behaviour around edge cases that have built up over the years:The [blame for this file] has more context and links to the relevant commits, and I think there were cases around us having to explicitly handle things better than the defaults on Windows (where this library originated) that may no longer be necessary.",,,,,,
640094036,2188,Issue,"### Everyone, thank you very much - Issue is fixed!Just like  said **I removed the line ` AllowAutoRedirect = false `** from HttpMessageHandlerFactory.cs  Then octokit didn't authenticated because, HTTPClient get redirected and doesn't return the correct result back when using **password** authentication.  But just like  said, **this doesn't occur in Personal Token Based Auth**. So using token instead of password allowed me to Authenticate without any error.   _p.s. I'll make this repo public as soon as our 'Account servers' are ready. So anyone could cope with this_  Again thanks for quick help!",,,,,,
621528814,2185,Issue,"When the new integration test is run locally it fails on this line when attempting to retrieve the master branch from the newly created repository:The error is: Octokit.ApiException : Git Repository is empty.In debugging I confirmed the repository is created. When I run `PullRequestsClientTests.CanCreate` it passes, so I am convinced I have done something wrong writing this new test. Any ideas?",,,,,,
627611683,2185,Issue,"I figured out what I was doing wrong.The tests for cards did not require auto-init, now they do.I also had to update the `NewProjectCard` object to use a `long` instead of `int` for the `ContentId` property, since PullRequest Id's are a `long` and not an `int` like Issues.Additionally, the helper method I was using was incorrect, since it only supported creating Issue cards, so another helper was introduced to keep the test styles consistent with the other tests.I have squashed my commits and pushed.",,,,,,
635395867,2185,Issue,!!!!! I just came here to make this change!!!! ❤️❤️❤️❤️,,,,,,
640283854,2185,Issue,release_notes: Add support for creating project cards from pull requests,,,,,,
621406309,2184,Issue,-BugBot can you share a full snippet of what you're trying to achieve?,,,,,,
621407427,2184,Issue,Is there some other permission they need to be able to do this? From [the docs]: Labels to associate with this issue. _NOTE: Only users with push access can set labels for new issues. Labels are silently dropped otherwise._Same permission is required for assignees. Maybe your account needs that permission?,,,,,,
640283893,2183,Issue,release_notes: Update `Microsoft.NET.Test.Sdk` to latest version,,,,,,
619958823,2182,Issue,thanks for opening this up!Can we mark `SubscribersCount` as obsolete while we're making this change?,,,,,,
640284018,2182,Issue,release_notes: Add WatchersCount to Repository response model,,,,,,
619580834,2181,Issue,can you provide more information: - which repository are you testing? - what value did you expect to get?,,,,,,
619583668,2181,Issue,"I've used RepositoryClient from GitHubClient to get all repositories of a provided user (tested with ""unclebob"") and every result had subscribers count = 0. And if I'm not mistaken, subscribers count is basically a watchers count? If not, is it possible to get watchers count in Repository object? What I'm trying to accomplish is to get all the data about user repositories within one request and everything is there, except watchers count.",,,,,,
619591193,2181,Issue,"looking at an example from that user I no longer see `subscribers_count` in the underlying JSON:There was some API churn ages ago which lead to this duplication between ""subscribers"" (which we didn't have an equivalent in the UI) and ""watchers"" (which was there in the UI), but I suspect it's been cleaned up recently. I think you want `WatchersCount` in C# but I'll leave this open to verify and properly deprecate the fields if they're no longer sent by GitHub.",,,,,,
619591727,2181,Issue,"Yeah, exactly. But apart from marking SubscribersCount as deprecated, is there a chance to get WatchersCount property in the near future?",,,,,,
619622073,2181,Issue,I'd take a PR to add the property to [`Octokit/Models/Response/Repository.cs`] in the meantime.,,,,,,
619631770,2181,Issue,Done #2182,,,,,,
648264447,2180,Issue,Any update on this?,,,,,,
618396649,2179,Issue,"I don't believe this is currently available through the GitHub API.Generally these sorts of features are exposed as a [preview API] first, so until that is available there's not much we can do from the Octokit side.",,,,,,
613578856,2176,Issue,"Thanks for the feedback! I've adjusted accordingly. I also named it `CodesOfConductClient` instead of `CodeOfConductClient` (Code is singular instead of plural), since that's how GitHub officially refers it to:",,,,,,
614861119,2176,Issue,"I'm currently working on adding tests now, I'll submit once I have them all passing locally. 👍",,,,,,
612641615,2175,Issue,release_notes: fixed parsing of response headers in `GitHubClient.GetLastApiInfo()`,,,,,,
611097589,2173,Issue,"no, it's just under development: #2150Also, we had an earlier issue for this #1915",,,,,,
612540734,2171,Issue,thanks for opening this PR. We also have #2155 so I need to figure out how to reconcile both PRs.,,,,,,
612641323,2170,Issue,release_notes: Added `ReleaseEvent` payload,,,,,,
612641420,2169,Issue,release_notes: Updated GitHub Apps documentation to render emoji correctly,,,,,,
612641240,2168,Issue,release_notes: Updated `System.Reactive` dependency to `4.4.1`,,,,,,
612641177,2164,Issue,release_notes: replace `Task.Factory.StartNew` usage in tests with `Task.FromResult` to simplify test setup,,,,,,
605505629,2161,Issue,"thanks for the report. I've isolated this to how headers are returned when an unauthenticated request is made.This tests shows how the headers for rate-limiting information differ:Note the `Ratelimit` returned from the first command - the lower-case `l` here is why we are unable to parse the numbers from the header.As a workaround, I recommend setting the `Credentials` property on your `GitHubClient` to perform an authenticated request. This will also give you a larger number of API calls to work with - unauthenticated requests are limited to 60 requests per hour.I need to investigate the root cause of this on our end, and will close this out when it's been resolved.",,,,,,
605508673,2161,Issue,Ok. This seems like a bug in the API from GitHub...I currently use octokit library in This is currently just using the free unauthenticated API.Is it a good idea to include an authenticated call in an public application which is used by multiple people at the same time?How is the rate limit calculated? Is this 5000 per system/user or 5000 in total?An another request: if possible retarget .net framework 4.5.2 in octokit because this is missing from the latest?,,,,,,
605515188,2161,Issue,"How is the rate limit calculated? Is this 5000 per system/user or 5000 in total?Essentially 5000 per user, but [the documentation has more information about the specifics]. Is it a good idea to include an authenticated call in an public application which is used by multiple people at the same time?Yes. 60 requests/hour may not allow much usage before rate-limiting is enforced.I see you have a documented `--token` parameter for private repositories - if users are seeing themselves get rate-limited then they can add this to get the increased API request count (for public or private repositories). An another request: if possible retarget .net framework 4.5.2 in octokit because this is missing from the latest?This deprecation was flagged back in [`0.35`] in October last year because upstream dependencies had dropped these versions: As part of keeping up with current target frameworks in .NET, we will be deprecating `net45` and `netstandard1.1` targets in a future release. This update adds `net46` and `netstandard2.0` outputs which will become the new baseline, so please test them out in your projects and report any issues you encounter.In February (so 5ish months later) [`v0.41`] dropped the older versions: Octokit and Octokit.Reactive now have a minimum target of `net46` and `netstandard2.0` to keep up with the minimum supported versions of Reactive Extensions for .NET. `v0.40.0` is the last version that targets `net45` or `netstandard1.0`, but you will need to upgrade your projects to continue to get further updates and fixes.To continue to receive updates you will need to retarget `net46`. I'm not sure if there's a specific dependency that is blocking you from doing this upgrade, but I'd been falling behind keeping up with `System.Reactive` which forced me to plan for this deprecation.",,,,,,
601797802,2159,Issue,are you referring to [this announced feature]?Unless there is a [documented API] or a [preview API] underway then we are unable to supported it in the client API.,,,,,,
601887566,2159,Issue,"Thanks, I hope that feature comes early. :)",,,,,,
604152123,2158,Issue,release_notes: Tidy up route metadata attributes based on schema information,,,,,,
604151577,2157,Issue,release_notes: Tidy up route metadata attributes based on schema information.,,,,,,
600073123,2156,Issue,are either of you able to verify this PR fixes the problem for you? I'd love to be able to confirm this is good before publishing an update to everyone...,,,,,,
600171333,2156,Issue,"You'd also need access to our GitHub Enterprise server which might be difficult :)I added a comment about none vs null, I'm a bit slammed with meetings today (under Bay Area shelter in place order) so I'll try and check this as soon as I can.",,,,,,
600173762,2156,Issue,"aha yes, that's also helpful context because you might be working against an older version of the GitHub API depending on your version of GHE",,,,,,
600175728,2156,Issue,We keep it up to date specifically to avoid those kinds of problems.Fortunately (?) my next meeting just got cancelled so I've got an hour to play around with this.,,,,,,
600176872,2156,Issue,do you know which version of GHE you are working against? This will help me to confirm where it was introduced and whether it's been fixed since.,,,,,,
600178980,2156,Issue,"2.20.2 as of the middle of last week, previously we were on 2.19.5. I don't know if the upgrade caused this issue, or someone shuffling some teams around and suddenly making them nested was what surfaced it. The original bug report is from December.",,,,,,
600180491,2156,Issue,I can confirm that we no longer see the error from repos with nested teams. I appreciate the hustle!Do you have an ETA on when this might be available as a new version? I can just re-publish the beta package to our internal feed as a temporary workaround if it's not today or tomorrow.,,,,,,
600219951,2156,Issue,"Thanks for confirming .  The original bug report is from December.Yeah, I suspect that one was also from GitHub Enterprise but I forgot to ask at the time. Do you have an ETA on when this might be available as a new version? Aiming for tonight once I've cleared out some other work.",,,,,,
600220771,2156,Issue,release_notes: Fix for deserializing issue when parent team has `null` set for `Permission` in some GitHub Enterprise environments.,,,,,,
600224248,2156,Issue,the fix has been released  and is being indexed on NuGet as we speak...,,,,,,
600226916,2156,Issue,I just updated my local copy to 0.45.0 and can confirm it is still good. Rolling it out to our internal services now. I really appreciate the quick turnaround on this once we had it isolated 👍,,,,,,
600310894,2155,Issue,"Hello , thanks for the suggestions.",,,,,,
604151864,2154,Issue,release_notes: Clean up preview accept headers which are no longer documented or have graduated to production.,,,,,,
604153740,2154,Issue,"advisories: This release stops sending preview accept headers which are no longer mentioned in the developer documentation. These features should be working as expected if the service no longer looks for the preview header, but if you spot a situation where the code is not returning the expected response as it was in previous releases please open an issue so we can investigate.",,,,,,
599218441,2153,Issue,Thank you 👍,,,,,,
599228268,2153,Issue,release_notes: updated `client.PullRequest.ReviewRequest` to reflect what is currently supported,,,,,,
599230198,2153,Issue,"advisories: due to the Review Request API graduating from preview there are some breaking changes that will impact callers: - `client.PullRequest.ReviewRequest.GetAll()` has been removed in favour of `client.PullRequest.ReviewRequest.Get()` as there is no pagination support for the API - `client.PullRequest.ReviewRequest.Get()` now returns a `RequestedReviews` object that contains users and teams - `PullRequestReviewRequest` now accepts teams, and helper functions are added to make it clear whether a request review is for users or teamsExample code:",,,,,,
599228108,2152,Issue,release_notes: mark `ReleasesClientTests.TheCreateReleasesMethod` tests as integration,,,,,,
608015790,2151,Issue,I just rebased onto master. Do you think you'll get some time to review this pull request sooner or later?,,,,,,
612641764,2151,Issue,release_notes: added `GetRawContent` and `GetRawContentByRef` APIs to Repository Contents client for cases where performance is desirable,,,,,,
612666894,2151,Issue,Thanks for merging and releasing version 0.47.0! 🎉,,,,,,
597340062,2150,Issue,Where are tests for ObservableUsersClient ? Cant' seem to find them :(,,,,,,
597598379,2150,Issue,Where are tests for ObservableUsersClient ? Cant' seem to find them :( it may be that this file doesn't exist - feel free to take a shot at creating it using the others as a reference.,,,,,,
597898623,2150,Issue,"I created ObservableUsersClientTests.cs but Test Explorer or CI Build doesn't seem to ""see"" it.Please advise. What am i missing?",,,,,,
598092750,2150,Issue,"I created ObservableUsersClientTests.cs but Test Explorer or CI Build doesn't seem to ""see"" it. Please advise. What am i missing?Hmm, maybe the reference is missing in project file. I will check in the evening.",,,,,,
598386883,2150,Issue,"As none of project files has file list, this doesn't seems to be the case.So i have no clue. Please help.",,,,,,
600562808,2150,Issue,Now what happens ? :),,,,,,
612543241,2150,Issue,"Now what happens ? :)I need to find time to review, which I'm trying to carve out this long weekend...",,,,,,
651943162,2149,Issue,"Hi, I have pushed PR #2217 which implements this functionality. Please let me know if you have any feedback.Thank you",,,,,,
600258674,2138,Issue,This is no longer a preview feature,,,,,,
611766234,2135,Issue,"Hi, I'd be happy in working on adding Code of Conduct support. 😄",,,,,,
609470062,2132,Issue,Didn't realize that  was working on this.  I just completed this task.,,,,,,
599228036,2131,Issue,release_notes: move `GitHubAppInstallationsClient` into root namespace,,,,,,
599227938,2130,Issue,release_notes: removed obsolete code for `CheckSuitesClient`,,,,,,
596095265,2128,Issue,release_notes: Added preview header for OAuth Applications API changes that were overlooked in #2116  in readiness for eventual deprecation,,,,,,
599227264,2124,Issue,release_notes: add metadata to each client to assist with auditing API coverage,,,,,,
599227445,2123,Issue,release_notes: added `RequestedTeams` property to `PullRequest` response model,,,,,,
594422242,2122,Issue,1,,,,,,
594428903,2122,Issue,1,,,,,,
594438045,2122,Issue,1,,,,,,
594444039,2122,Issue,1,,,,,,
594461771,2122,Issue,1,,,,,,
594481888,2122,Issue,1,,,,,,
594981451,2122,Issue,"Also, Review Requests entity contains similar teams property but Octokit.IPullRequestReviewRequestsClient gets the list of requested users only without teamsI think this the APIs as currently implemented are not designed to match the response returned from the GitHub API:I'm going to drop the `up-for-grabs` here as there's a bit we need to do here: - confirm the current client doesn't deserialize correctly - add unit and integration tests for the correct API - figure out the right implementation for receiving users and teams - figure out how to gracefully deprecate the current API",,,,,,
593951782,2121,Issue,"advisories: The `UnixTimestampExtensions.ToUnixTime` methods are marked obsolete because there are equivalent APIs available in .NET Framework 4.6. As these are also intended for internal usage in .NET and should not be imported into the library code, these will be removed in a later update.",,,,,,
593954980,2121,Issue,release_notes: Replaced old `UnixTimestampExtensions.ToUnixTime` extension methods with inbuild equivalents now that we target .NET Framework 4.6,,,,,,
593892044,2120,Issue,"Installing the .net core 3.1 SDK fixed this, but your code that attempts to install dotnet under octokit won't work without setting DOTNET_ROOT. In PowerShell you probably also need to update $env:DOTNET_ROOT as environment variables are only loaded on new powershell session",,,,,,
594488041,2120,Issue,thanks for the heads up.I'm not too familiar with how to properly configure PowerShell for working with .NET Core but I'm going to leave this open to remind myself to look at how setup docs and see if we can improve them at all.,,,,,,
593897452,2119,Issue,duplicate of #1979 This is now appears to be resolved.  Thanks!!!,,,,,,
593673161,2118,Issue,release_notes: Improvement to AuthorizationClient tests around internal behaviour,,,,,,
593664162,2117,Issue,Is there a documented API for Issue Transfers? I don't see it mentioned in  or as a preview API  ?,,,,,,
593720848,2117,Issue,I haven't been able to find it either. Which I guess explains why it doesn't exist in the library itself.,,,,,,
593903020,2117,Issue,"For the moment I'm going to close this out as we're limited by what the GitHub API can suport.If this does appear as a preview API in the future, we can revisit it then.",,,,,,
593562780,2116,Issue,Thanks for this !Feel free to open other issues or PRs if you wanted to improve this area.,,,,,,
593672928,2116,Issue,release_notes: In preparation for the [Deprecating OAuth Application API] brownout and eventual removal on July 1 2020 we have updated the client internals to ensure we are calling the supported endpoint well in advance,,,,,,
591204373,2114,Issue,"thanks for opening this up - we've got decent coverage here already but I added a commit to update a test to use one of the new enums, just to be sure. All working good here!",,,,,,
591205003,2114,Issue,release_notes: Added :rocket: and :eyes: emoji to `Reaction` type,,,,,,
591000202,2112,Issue,"Currently there are three areas where timeouts can be changed: - `GitHubClient.SetRequestTimeout` to set the timeout globally  - `IRequest.Timeout` is set per-request, and the constructor for `Request` sets a default timeout of 100 seconds.  - `ReleaseAssetUpload.Timeout` has a nullable `Timespan?` property that can be used to set a higher time.One of the known issues here is where a global and per-request timeout are specified, **the lower value is the winner**. This is likely a source of confusion for users who set a higher value globally but can't access the inner default 100s on `Request`.",,,,,,
591051071,2112,Issue,"Lets double check the purpose of every timeout field we have:1) `HttpClient.Timeout` in the field `HttpClientAdapter._http`- Scope: per-request timeout- In use by: `HttpClient` internaly- How can be changed by library user: via `SetRequestTimeout()` method- How can be read for diagnostics: not implemented2) `IRequest.Timeout` (100 seconds)- Scope: global timeout- In use by: `HttpClientAdapter.GetCancellationTokenForRequest()` method only- How can be changed by library user: not implemented- But: Implemented for a few methods like `GetArchive(..., timeout)`- How can be read for diagnostics: not implemented",,,,,,
591053018,2112,Issue,isn't 1) the global timeout and 2) the per-request timeout?,,,,,,
591055948,2112,Issue,To get a right answer we have to define what the global timeout is. Is pagination included in global scope?,,,,,,
591059000,2112,Issue,"According to docs.microsoft.com both are per-request. The difference is that the first will be applied to all requests and the send one to individual request. But the Octokit passes individual 100s timeout to all requests, so the Timeout property one does not matter, still not less than 100s.I confused the definition of ""global"". It means system-wide, I thought operation-wide",,,,,,
591062488,2112,Issue,"To get a right answer we have to define what the global timeout is.I don't quite understand, but I want to focus on what Octokit **should** be doing, rather than what it's currently doing.I'm considering `HttpClient.Timeout` to be a global setting based on this sentence from [the docs] (emphasis mine). _The same timeout will apply for **all requests** using this HttpClient instance._ Is pagination included in global scope?We can talk about pagination, but I think it's just a different ""per-request"" situation. A request gets completed, it tries to follow the pagination headers, and if they are found it'll create a new request.",,,,,,
591068520,2112,Issue,"I see, so the picture is that we have no general approach to influence individual per-request timeout which is defined in the field of internal class `Request.Timeout`. There are a few exposed API method overloads which includes ""timeout"" parameter (like `GetArchive`), but that's all we have for now.",,,,,,
591071283,2112,Issue,"correct - at the time we didn't want to make users really think about that, which is why we provided those specific overloads as well as the global `GitHubClient.SetRequestTimeout`.",,,,,,
591087117,2112,Issue,"share some code samples where timeouts matterConsider this scenario: We handle transient errors using a custom `HttpClientHandler`. In that case ""individual per-request"" timeout includes retry attempts. It is  In order to keep a tight control over timeouts we have to distinguish actual per-request timeout and `CancellationToken `timeout that is passed to `HttpClient.SendAsync()` which is span across all retries. But the scenario is impossible to implement still the `CancellationToken` timeout is predefined and always 100 seconds.",,,,,,
621166020,2112,Issue,"`ReleaseAssetUpload.Timeout` has a nullable `Timespan?` property that can be used to set a higher time.Though I think this is implied, just for clarity (as it surprised me): if you leave this as `null` then the default of 100 seconds is applied. I think I expected no per-request timeout to be set in this case, and that it would just be ended by the 'global' timeout set on `HttpClient`. As it is, you need to remember to set a larger timeout globally *and* on `ReleaseAssetUpload.Timeout`.",,,,,,
638756315,2112,Issue,I'm getting 100s timeouts on downloading large assets using Connection.GetGitHubClient.SetRequestTimeout is set at 600 seconds.  I've tried passing a CancellationToken with a larger timeout too.,,,,,,
591420863,2110,Issue,release_notes: Added support for handling fully qualified references in `Git.References` endpoints,,,,,,
591208950,2109,Issue,release_notes: Moved `dotnet-format` out to tool manifest file,,,,,,
590575316,2105,Issue,release_notes:  `RepositoryContentsClient.GetAllContentsByRef` handles special case where you want `/` as well as a different branch.,,,,,,
587473376,2103,Issue,-rcocks can you share the relevant JSON you are receiving from curl? Maybe we're not deserializing correctly due to some change from the API response?,,,,,,
587495641,2103,Issue,"My earlier description was not fully accurate, I was comparing octokit with an api request to the individual PR endpoint. However, the `/pulls` list endpoint does not list changed files at all.I'm running the following linqpad script to reproduce this issue:(With octokit added through nuget and namespaced in the linqpad properties).When queried as a batch, the ChangedFiles is zero, but the individual request matches the HTTP api which I was using to check against earlier.",,,,,,
